Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-0.629922,2.346996,-90.000000,bottom
"J1","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",-2.597441,4.026575,-90.000000,bottom
"J2","Power_inlet_vertical","Wurth-694106402002",-2.322835,0.859843,180.000000,bottom
"J3","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-2.198819,3.169291,90.000000,bottom
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",3.799213,1.220472,0.000000,top
"C1","C_0805_0.1uf","C_0805_2012Metric",2.401575,3.872047,90.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",2.401575,3.267717,0.000000,top
"C3","C_0805_22pf","C_0805_2012Metric",2.637795,3.110236,0.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",2.978346,3.090551,0.000000,top
"C5","C_0805_1uf","C_0805_2012Metric",2.879921,0.925197,0.000000,top
"C6","C_0805_0.1uf","C_0805_2012Metric",2.624016,0.531496,-90.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",1.673228,3.326772,-90.000000,top
"D1","LED_0805","LED_0805_2012Metric",2.736220,4.192913,180.000000,top
"DS1","TC1602A-01T","TC1602A-01T",1.062992,2.927461,0.000000,top
"Q1","NPN_2N3904_SOT23","SOT-23",3.996063,1.929134,0.000000,top
"R1","R_0805_10K","R_0805_2012Metric",1.509843,3.346457,0.000000,top
"R2","R_0805_4.7K","R_0805_2012Metric",1.088583,3.169291,0.000000,top
"R3","R_0805_4.7K","R_0805_2012Metric",1.285433,3.169291,0.000000,top
"R4","R_0805_1K","R_0805_2012Metric",4.049213,1.712598,0.000000,top
"R5","R_0805_1K","R_0805_2012Metric",4.080709,2.283465,0.000000,top
"R6","PhotoconductivePhotocell","R_LDR_4.9x4.2mm_P2.54mm_Vertical",2.385827,4.153543,180.000000,top
"R7","R_0805_100K","R_0805_2012Metric",2.224409,3.877953,0.000000,top
"R8","R_0805_10K","R_0805_2012Metric",2.618110,1.155512,-90.000000,top
"R9","R_0805_10K","R_0805_2012Metric",3.405512,1.155512,-90.000000,top
"R10","R_0805_10K","R_0805_2012Metric",1.811024,1.141732,-90.000000,top
"R11","R_0805_47","R_0805_2012Metric",1.909449,3.326772,-90.000000,top
"R12","R_0805_47","R_0805_2012Metric",1.791339,3.326772,-90.000000,top
"R13","R_0805_2.2K","R_0805_2012Metric",2.972441,4.055118,90.000000,top
"RV1","R_POT_10K","Potentiometer_Bourns_3386P_Vertical",1.063583,1.140157,0.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.322835,1.220472,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.110236,1.220472,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",1.535433,1.220472,0.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",1.850394,3.996063,0.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",1.692913,3.452756,90.000000,top
"U2","DS1307_DIP-8","DIP-8_W7.62mm",1.011811,3.673228,0.000000,top
"U3","L7805","TO-252-2",3.020669,0.707677,0.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",2.785433,3.267717,180.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",0.807087,3.622047,90.000000,top
